Organização;Nome;Descrição;Tags;Quantidade Recursos;Quantidade Reusos;Quantidade Downloads
Instituto Nacional da Propriedade Industrial - INPI;Acordo de Cooperação Técnica INPI-ANPROTEC (2018);"Acordo de Cooperação Técnica entre o INPI e a Associação Nacional de Entidades Promotoras de Empreendimentos de Tecnologias Avançadas - ANPROTEC, firmado em 2018, ""visando o desenvolvimento e execução de programas e projetos de cooperação técnica e o intercâmbio em assuntos educacionais, científicos, tecnológicos e de pesquisa, e o estabelecimento de mecanismos para sua realização""";Governo Digital,acordos,articulação,contratos,cooperação,disseminação,parcerias;1;1;9
Instituto Nacional da Propriedade Industrial - INPI;Acordo de Cooperação Técnica INPI-BNDES (2014);Acordo de Cooperação Técnica entre o INPI e o Banco Nacional de Desenvolvimento Econômico e Social - BNDES, firmado em 2018, tendo por objetivo “a disseminação e a capacitação sobre Inovação, Propriedade Intelectual (PI) e Informação Tecnológica para um melhor entendimento e uso do sistema de proteção do intangível, de forma a disseminar a cultura de PI e de fomento público à Ciência, Tecnologia e Inovação na indústria brasileira, almejando o desenvolvimento industrial, científico e tecnológico do País”;acordos,articulação,contratos,cooperação,disseminação,parcerias;1;1;3
Instituto Nacional da Propriedade Industrial - INPI;Acordo de Cooperação Técnica INPI-CADE (2018);"Acordo de Cooperação Técnica entre o INPI e o Conselho Administrativo de Defesa Econômica - CADE, firmado em 2018, tendo ""como objeto estabelecer um procedimento por meio do qual ambas as partes possam solicitar subsídios técnicos e submeter matérias ao exame da área finalística da outra autarquia, além de estudos conjuntos e disseminação direcionada em assuntos de interesse específico, visando o desenvolvimento, o estreitamento de relações e a capacitação de servidores das partes""";acordos,articulação,contratos,cooperação,disseminação,parcerias;1;0;4
Instituto Nacional da Propriedade Industrial - INPI;Acordo de Cooperação Técnica INPI-CNI (2018);"Acordo de Cooperação Técnica entre o INPI e a Confederação Nacional da Indústria - CNI, firmado em 2018, tendo ""por objetivo estabelecer a cooperação entre os partícipes, visando a disponibilização de informações técnicas e a conjugação de esforços, competências e conhecimentos técnicos para o desenvolvimento de projetos, estudos e pesquisas de mútuo interesse em propriedade intelectual""";acordos,articulação,contratos,cooperação,disseminação,parcerias;1;0;8
Instituto Nacional da Propriedade Industrial - INPI;Acordo de Cooperação Técnica INPI-EMBRAPII (2019);"Acordo de Cooperação Técnica entre o INPI e a Associação Brasileira de Pesquisa e Inovação Industrial - EMBRAPII, firmado em 2019, ""visando à expansão e ao aumento do uso do sistema de PI por empresas e ICTs, com o necessário aumento de ativos intangíveis com registro formalizado no país, o desenvolvimento e execução de programas e projetos de cooperação técnica e o intercâmbio em assuntos educacionais, científicos, tecnológicos e de pesquisa, o estabelecimento de mecanismos para sua realização e o diagnóstico de oportunidades de instalação de Unidades Regionais do INPI em Unidades EMBRAPII (UEs)""";acordos,articulação,contratos,cooperação,disseminação,parcerias;1;0;8
Instituto Nacional da Propriedade Industrial - INPI;Acordo de Cooperação Técnica INPI-FAPESP (2019);"Acordo de Cooperação Técnica entre o INPI e a Fundação de Amparo à Pesquisa do Estado de São Paulo - FAPESP, firmado em 2019, ""visando à disponibilização de informações técnicas e a conjugação de esforços, competências e conhecimentos técnicos para o desenvolvimento de projetos, estudos e pesquisas de mútuo interesse em propriedade industrial""";acordos,articulação,contratos,cooperação,disseminação,parcerias;1;0;6
Instituto Nacional da Propriedade Industrial - INPI;Acordo de Cooperação Técnica INPI-IBGE (2014);Acordo de Cooperação Técnica entre o INPI e a Fundação Instituto Brasileiro de Geografia e Estatística - IBGE, firmado em 2018, tendo “como objeto a cooperação técnica, científica, educacional e cultural entre os partícipes, visando o desenvolvimento e a execução de ações conjuntas para normalização, suporte a análise espacial, difusão e o fortalecimento das Indicações Geográficas”;acordos,articulação,contratos,cooperação,disseminação,parcerias;1;1;22
Instituto Nacional da Propriedade Industrial - INPI;Acordo de Cooperação Técnica INPI-IPEA (2014);Acordo de Cooperação Técnica entre o INPI e o Instituto de Pesquisa Aplicada - IPEA, firmado em 2014, tendo “por objetivo estabelecer a cooperação entre os partícipes, visando a disponibilização de informações técnicas e a conjugação de esforços, competências e conhecimentos técnicos para o desenvolvimento de projetos, estudos e pesquisas de mútuo interesse em propriedade intelectual”;acordos,articulação,contratos,cooperação,disseminação,parcerias;1;0;6
Instituto Nacional da Propriedade Industrial - INPI;Acordo de Cooperação Técnica INPI-NGPD-OAB/PE (2018);Acordo de Cooperação Técnica entre o INPI, o Núcleo de Gestão do Porto Digital - NGPD e a Ordem dos Advogados do Brasil, Seccional Pernambuco - OAB/PE, firmado em 2018, “visando o desenvolvimento e execução de programas e projetos de cooperação técnica e o intercâmbio em assuntos educacionais, científicos, tecnológicos e de pesquisa e o estabelecimento de mecanismos para sua realização”;acordos,articulação,contratos,cooperação,disseminação,parcerias;1;0;5
Instituto Nacional da Propriedade Industrial - INPI;Acordo de Cooperação Técnica INPI-PaqTCPB (2020);"Acordo de Cooperação Técnica entre o INPI e a Fundação Parque Tecnológico da Paraíba - PaqTcPB, firmado em 2020, tendo ""por objeto a cooperação técnica dos partícipes no tocante às atividades de conscientização e disseminação da cultura e uso do sistema da propriedade industrial no Estado da Paraíba por meio da inserção qualificada do INPI no Parque Tecnológico da Paraíba, possibilitando a cooperação entre o Instituto e as áreas de geração de empreendimentos inovadores (incubadoras, aceleradoras, coworkings etc.), com vistas a aumentar a participação, a proteção e a comercialização de ativos intangíveis""";acordos,articulação,contratos,cooperação,disseminação,parcerias;1;0;5
Instituto Nacional da Propriedade Industrial - INPI;Acordo de Cooperação Técnica INPI-SEBRAE (2016);Acordo de Cooperação Técnica entre o INPI e o Serviço Brasileiro de Apoio às Micro e Pequenas Empresas - SEBRAE, firmado em 2016, tendo “por objetivo estabelecer a cooperação entre os partícipes, visando a disponibilização de informações técnicas e a conjugação de esforços, competências e conhecimentos técnicos para o desenvolvimento de projetos, estudos e pesquisas de mútuo interesse em propriedade intelectual”;acordos,articulação,contratos,cooperação,disseminação,parcerias;1;0;1
Instituto Nacional da Propriedade Industrial - INPI;Acordo de Cooperação Técnica INPI-SEBRAE/SE (2017);Acordo de Cooperação Técnica entre o INPI e o Serviço de Apoio às Micro e Pequenas Empresas de Sergipe - SEBRAE/SE, firmado em 2017, tendo por finalidade “instalar a Seção de Exame e Difusão Regional do Sergipe (SEDIR-SE), Unidade Regional do INPI no Estado de Sergipe, nas dependências do SEBRAE-SE, com vistas à execução de atividades de sua competência específica”;acordos,articulação,contratos,cooperação,disseminação,parcerias;1;0;4
Instituto Nacional da Propriedade Industrial - INPI;Acordo de Cooperação Técnica INPI-SENAI/CIMATEC (2020);Acordo de Cooperação Técnica entre o INPI e o Centro Integrado de Manufatura e Tecnologia do Serviço Nacional de Aprendizagem Industrial no Estado da Bahia - SENAI/CIMATEC, firmado em 2020, tendo por objetivo a promoção das “as atividades de conscientização e disseminação da cultura e uso do sistema da propriedade industrial no Estado da Bahia por meio da inserção qualificada do INPI no SENAI/CIMATEC, possibilitando a cooperação do Instituto e as áreas de geração de empreendimentos inovadores (incubadoras, aceleradoras, coworkings etc.), com vistas a aumentar a participação, a proteção e a comercialização de ativos intangíveis”;acordos,articulação,contratos,cooperação,disseminação,parcerias;1;0;2
Instituto Nacional da Propriedade Industrial - INPI;Acordo de Cooperação Técnica INPI-SENAI/MG (2018);Acordo de Cooperação Técnica entre o INPI e o Serviço Nacional de Aprendizagem Industrial no Estado de Minas Gerais- SENAI/MG, firmado em 2018, tendo por objetivo “a implantação  de escritório modelo do Instituto Nacional de Propriedade Intelectual - INPl, com área de 127m2, nas dependências do SENAI-CIT, especificamente nos imóveis matriculados sob os nºs 3932 e 208, no Cartório de 4° Ofício de Registro de Imóveis  da  Comarca  de  Belo  Horizonte/MG  e  situados  na Avenida José Cândido da Silveira, 2000, bairro Horto Florestal”;acordos,articulação,contratos,cooperação,disseminação,parcerias;1;0;0
Instituto Nacional da Propriedade Industrial - INPI;Acordo de Cooperação Técnica INPI-SecCTM (2015);Acordo de Cooperação Técnica entre o INPI e a Secretaria de Ciência, Tecnologia e Inovação da Marinha - SecCTM, firmado em 2015, tendo “por objeto estabelecer a cooperação entre os partícipes, visando fomentar e capacitar os pesquisadores e gestores da Marinha do Brasil sobre os temas Propriedade Industrial e Inovação”;acordos,articulação,contratos,cooperação,disseminação,parcerias;1;0;0
Instituto Nacional da Propriedade Industrial - INPI;Acordo de Cooperação Técnica INPI-UFG (2016);Acordo de Cooperação Técnica entre o INPI e a Universidade Federal de Goiás - UFG, firmado em 2016, “visando à execução do projeto ‘Disseminação da Propriedade Industrial no Âmbito da Universidade Federal de Goiás e no Estado de Goiás’”;acordos,articulação,contratos,cooperação,disseminação,parcerias;1;0;2
Instituto Nacional da Propriedade Industrial - INPI;Acordo de Cooperação Técnica INPI-UFPE (2016);Acordo de Cooperação Técnica entre o INPI e a Universidade Federal de Pernambuco - UFPE, firmado em 2016, tendo “por objeto a cooperação técnica dos partícipes no tocante as atividades de competência específica do INPI referentes à Propriedade Intelectual”;acordos,articulação,contratos,cooperação,disseminação,parcerias;1;0;0
Instituto Nacional da Propriedade Industrial - INPI;Acordo de Cooperação Técnica INPI-UNIRIO (2018);Acordo de Cooperação Técnica entre o INPI e a Universidade Federal do Estado do Rio de Janeiro - UNIRIO, firmado em 2018, tendo “como objeto a cooperação técnica, científica, educacional e cultural entre os partícipes, visando o desenvolvimento e a capacitação de servidores das partes”;acordos,articulação,contratos,cooperação,disseminação,parcerias;1;0;7
Instituto Nacional da Propriedade Industrial - INPI;Agenda de Compromissos Públicos do Diretor de Administração do INPI (2015);Histórico de compromissos públicos do Diretor de Administração do INPI, agendados, divulgados e atualizados diariamente no Portal do INPI, no ano de 2015, com a informação das audiências, eventos públicos e reuniões governamentais com a sua participação presencial ou remota, em observância à Resolução da Comissão de Ética Pública nº 11, de 11 de dezembro de 2017;agenda,audiências,autoridade,compromissos públicos,diretor de administração,eventos públicos,reuniões governamentais;2;0;0
Instituto Nacional da Propriedade Industrial - INPI;Agenda de Compromissos Públicos do Diretor de Administração do INPI (2016);Histórico de compromissos públicos do Diretor de Administração do INPI, agendados, divulgados e atualizados diariamente no Portal do INPI, no ano de 2016, com a informação das audiências, eventos públicos e reuniões governamentais com a sua participação presencial ou remota, em observância à Resolução da Comissão de Ética Pública nº 11, de 11 de dezembro de 2017;agenda,audiências,autoridade,compromissos públicos,diretor de administração,eventos públicos,reuniões governamentais;2;0;0
